title,outlet,label
rock star's 'awful' date with melissa joan hart led to finding love with his wife,FoxNews,1
watch: protesters rail against 'malignant presence' elon musk during 'tesla takedown' demonstrations,FoxNews,1
fyre festival organizers promise 'successful' mexico event after officials' concerning advisory,FoxNews,1
boyfriend of missing woman detained by ice amid investigation into her disappearance: police,FoxNews,1
dem unloads in bizarre rant — doubles down when the silence gets awkward: 'so i'm lying?',FoxNews,1
doubleclickjacking hack turns double-clicks into account takeovers,FoxNews,1
madonna confronts elton john over decades-long feud: 'finally buried the hatchet',FoxNews,1
denver nuggets fire coach,FoxNews,1
scotus rules on trump's power to fire thousands of federal employees,FoxNews,1
"federal dietary guidelines will soon change for americans, hhs and usda announce",FoxNews,1
"jake tapper's book is 'a slap in the face' to anyone who questioned biden’s fitness for office, lindy li says",FoxNews,1
slain hamas hostage's family fights for the release of those still in gaza,FoxNews,1
"beach walk by man, woman yields ancient weapon discovery bearing 'secrets' from the past",FoxNews,1
larry kudlow: a new playbook and pecking order,FoxNews,1
"rand paul reveals gop lawmakers praise him for knocking trump's tariffs, encourage him to 'keep going'",FoxNews,1
at least 25 killed as historic flood disaster leaves towns underwater after deadly barrage of severe weather,FoxNews,1
paige spiranac has the internet on its knees as she checks in from augusta,FoxNews,1
belgium charges 8 people in european union parliament bribery probe,FoxNews,1
"2 chinese men captured in ukraine, zelenskyy claims",FoxNews,1
patricia heaton: i’m a mom on screen and off. building a family is a journey of love and commitment,FoxNews,1
"the ingraham angle - monday, april 7",FoxNews,1
"the mission st. john paul ii calls us to fulfill, 20 years after he left us",FoxNews,1
5 across,FoxNews,1
"man, woman walking on beach stumble across ancient weapon bearing 'secrets'",FoxNews,1
popular game show host takes nasty tumble on stage in wild moment: 'oh no!',FoxNews,1
hydrogen fuel cell trucks hit the roads in georgia,FoxNews,1
state lawmakers side with trump over their own governor after white house clash,FoxNews,1
fried chicken-flavored toothpaste sells out shortly after it's introduced,FoxNews,1
the losers and winners of trump's 'liberation day' tariff plan,FoxNews,1
a night with dallas pd as they navigate ice and trump immigration policy on the front lines,FoxNews,1
federal judge rules white house's associated press ban unconstitutional for 'viewpoint discrimination',FoxNews,1
blondie drummer clem burke dead at 70,FoxNews,1
secretary hegseth sends blunt message to china over panama canal,FoxNews,1
paul claims gop lawmakers 'whisper' their support for him blasting trump tariffs,FoxNews,1
dramatic footage shows heat-seeking tech leading rescuers to missing michigan toddler curled up in ditch,FoxNews,1
former college football star with long rap sheet faces life for drug trafficking,FoxNews,1
pam bondi warns migrant criminals 'we're coming after you' after supreme court lifts stay on deportations,FoxNews,1
"sound the alarm! we've got a curling controversy, and the olympics aren't even going on right now",FoxNews,1
how to remotely reset your router: steps for easy troubleshooting,FoxNews,1
illinois school faces criminal doj referral after allegations of forcing girls to change with trans student,FoxNews,1
political cartoons of the day,FoxNews,1
true crime reporters blocked outside courthouse where karen read is on trial file first amendment lawsuit,FoxNews,1
trump admin cites eye-popping number of jobs lost in hollowed-out industry,FoxNews,1
"us federal agencies to 'unleash' coal energy after biden 'stifled' it: 'mine, baby, mine'",FoxNews,1
"christie brinkley, 71, flaunts her red bikini as she channels her former model persona",FoxNews,1
federal agencies rally around trump's order to 'unleash' us energy,FoxNews,1
"chicago, my hometown, keeps winning in one shameful way",FoxNews,1
former bond girl who broke from tradition on screen draws the line: 'let james be james',FoxNews,1
"trump, cbs parent company set for mediation in $20 billion ’60 minutes’ lawsuit",FoxNews,1
"arch manning adds to growing nil valuation, inks deal with clothing company",FoxNews,1
stack & match,FoxNews,1
"christie brinkley, 71, channels former sports illustrated swim persona in red bikini",FoxNews,1
houston coach addresses failed final play in nail-biter loss to florida,FoxNews,1
"nascar power rankings: denny hamlin, william byron gain spots after darlington",FoxNews,1
former reagan economic advisor says world 'will prosper' out of trump tariffs,FoxNews,1
texas ag ken paxton launches primary against longtime senior republican senator,FoxNews,1
head of faa's air traffic organization tim arel resigning after 40 years of federal service,FoxNews,1
federal judge issues ruling on white house ban on associated press,FoxNews,1
"new navy chief 'regrets' costly missile interceptors against houthis, pushes for cheaper red sea defense",FoxNews,1
downwords,FoxNews,1
sydney sweeney steps out with flash of lacy lingerie after calling off wedding,FoxNews,1
everyone is just finding out that the lady who helped tank bud light works for liv golf now,FoxNews,1
crazy crystals,FoxNews,1
texas ag ken paxton announces run for us senate,FoxNews,1
doge helps coast guard save nearly $33m by eliminating 'ineffective it program',FoxNews,1
"nearly half of generation x is not confident about retirement, survey finds",FoxNews,1
trump emergency declaration cites eye-popping number of jobs lost in hollowed-out industry,FoxNews,1
prince harry and king charles dodge each other ahead of court appeal,FoxNews,1
trump friend and informal faith adviser: 'god is giving america another chance',FoxNews,1
jpmorgan chase ceo jamie dimon joins 'mornings with maria' on fox business,FoxNews,1
