title,outlet,label
a trans teacher in texas resigns after being targeted by conservatives online,NBC,0
torpedo bats get a nod of approval from mlb commissioner,NBC,0
sean combs' attorneys seek to block psychologist from testifying at may trial,NBC,0
minnesota student detained by ice who lost visa for dui thought he was being kidnapped,NBC,0
galapagos tortoises at philadelphia zoo become first-time parents at nearly 100,NBC,0
roofer says ice arrested three of his relatives in a workplace raid,NBC,0
"tate brothers may be under federal investigation in the u.s., court filing suggests",NBC,0
nevada man arrested after 7 'emotional support' tigers are seized from his home,NBC,0
trump plans to fine migrants $998 a day for failing to leave after deportation order,NBC,0
nintendo switch 2 preorders in u.s. delayed because of trump's tariffs,NBC,0
duke basketball star among south sudanese who could be deported due to new trump policy,NBC,0
denver nuggets fire coach michael malone in a stunning move days before the playoffs,NBC,0
trump to announce new tariffs and susan crawford wins in wisconsin race: morning rundown,NBC,0
"more top vaccine regulators out at fda, threatening new approvals",NBC,0
new jersey mom who drowned her 2 toddlers found not guilty by reason of insanity,NBC,0
california man 'angry with pharmacies' accused of shooting and killing walgreens employee,NBC,0
second measles death reported in texas amid a fast-growing outbreak,NBC,0
venezuelan organ donor reunites with his sick brother after ice temporary release,NBC,0
"nursing influencer hailey okula died of rare complication after childbirth, husband says",NBC,0
outrage grows over maryland man’s mistaken deportation to el salvador prison,NBC,0
fired investigator looms over karen read retrial as jury selection begins,NBC,0
de minimis trade loophole that boosted chinese online retailers to end may 2,NBC,0
"u.s. honeybee deaths soar, and grocery store bills could take the hit",NBC,0
hhs gutted programs to help people quit smoking. the impact could be deadly.,NBC,0
california youth soccer coach charged in death of 13-year-old boy,NBC,0
these two standout centers started together in africa. now they are rivals in the final four.,NBC,0
demand for torpedo bats is booming for batmakers,NBC,0
nhl star johnny gaudreau’s wife welcomes baby boy 7 months after he was killed in bicycle crash,NBC,0
tom cruise pays tribute to val kilmer with a moment of silence at cinemacon,NBC,0
detained students sent to remote ice facilities in louisiana accused of human rights abuses,NBC,0
massive sea turtle back where it belongs after florida photographer and rescue group step up,NBC,0
"amid fears of immigration raids, latino churches rethink how to conduct services",NBC,0
cdc's ivf team gutted even as trump calls himself the 'fertilization president',NBC,0
inside val kilmer's 11-year struggle with throat cancer,NBC,0
"this vaccine may protect against dementia, as well as a painful herpes zoster flare-up",NBC,0
"5-year-old dies after drinking bottle of apple juice allegedly containing meth, mother charged",NBC,0
"from first lady to everyday life, artist amy sherald captures the beauty of black america",NBC,0
u.s. set to host women's world cup in 2031; u.k. to host the 2035 competition,NBC,0
demonstrators rally in 'hands off' protests against trump policies and musk-led government cuts,NBC,0
wnba star elena delle donne retires after 11 seasons and a championship,NBC,0
bill murray says masked kiss led to sexual misconduct allegation that shut down movie,NBC,0
"suspect arrested after threatening to bomb 'saturday night live' studio, police say",NBC,0
federal judge orders return of man trump administration accidentally sent to notorious el salvador jail,NBC,0
vandalism at nyu islamic prayer room under investigation as hate crime,NBC,0
"trump administration revokes visas of 10 colorado international students, universities say",NBC,0
"man mistakenly deported to el salvador doesn't need to be back in u.s. tonight, supreme court rules",NBC,0
