title,outlet,label,url
jack carr recalls gen. eisenhower's d-day memo about 'great and noble undertaking',FoxNews,1,https://www.foxnews.com/lifestyle/jack-carrs-eisenhower-d-days-memo-noble-undertaking
"bruce willis, demi moore avoided doing one thing while co-parenting, daughter says",FoxNews,1,https://www.foxnews.com/entertainment/bruce-willis-demi-moore-avoided-doing-one-thing-while-co-parenting-daughter-says
"blinken meets qatar pm, says israeli actions are not 'retaliation,' but 'defending the lives of its people'",FoxNews,1,https://www.foxnews.com/politics/blinken-meets-with-qatars-prime-minister.print
"emily blunt says her ‘toes curl’ when people tell her their kids want to act: 'i want to say, don’t do it!'",FoxNews,1,https://www.foxnews.com/entertainment/emily-blunt-says-toes-curl-when-people-their-kids-want-act-want-say-dont-do-it
"'the view' co-host, cnn commentator ana navarro to host night 2 of democratic national convention",FoxNews,1,https://www.foxnews.com/media/the-view-co-host-cnn-commentator-ana-navarro-host-night-2-democratic-national-convention
striking boeing workers boo after democratic sen. maria cantwell criticizes trump,FoxNews,1,https://www.foxnews.com/politics/striking-boeing-workers-boo-after-democrat-sen-maria-cantwell-criticizes-trump.print
"white house grilled on harris' gun ownership, mandatory gun buybacks",FoxNews,1,https://www.foxnews.com/politics/white-house-grilled-harris-gun-ownership-mandatory-gun-buybacks.print
"tom cotton turns tables on cnn's dana bash on guns, brings up harris' past remarks on school shootings",FoxNews,1,https://www.foxnews.com/media/tom-cotton-turns-tables-cnns-dana-bash-guns-brings-up-harris-past-remarks-school-shootings
"kamala rides tsunami of positive press, but skeptics see a risky choice",FoxNews,1,https://www.foxnews.com/politics/kamala-rides-tsunami-positive-press-skeptics-see-risky-choice
harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces,FoxNews,1,https://www.foxnews.com/politics/harris-running-mate-faces-renewed-scrutiny-weird-socialism-comparison-resurfaces
"israeli-american reservist killed by hezbollah missile in israel, idf says",FoxNews,1,https://www.foxnews.com/world/israeli-american-reservist-killed-hezbollah-missile-israel-idf-says
"david mccullough, american historian and presidential medal of freedom recipient, dies at 89",FoxNews,1,https://www.foxnews.com/us/david-mccullough-american-historian-presidential-medal-freedom-recipient-dies
web designer who refuses to create sites for same-sex weddings says colorado law violates free speech rights,FoxNews,1,https://www.foxnews.com/politics/lorie-smith-web-designer-free-speech
simon cowell reveals how his son changed his judging style: ‘i have much more empathy’,FoxNews,1,https://www.foxnews.com/entertainment/simon-cowell-reveals-son-changed-judging-style-empathy
rare disease day: walking dead syndrome and other rare conditions baffle doctors and researchers,FoxNews,1,https://www.foxnews.com/lifestyle/walking-dead-syndrome-rare-conditions-baffle-doctors-researchers
cnn calls out harris for using trump's border wall in campaign ad after condemning it for years,FoxNews,1,https://www.foxnews.com/media/cnn-calls-out-harris-using-trumps-border-wall-campaign-ad-after-condemning-years
"taylor swift steals nyc spotlight during dinner with blake lively, sophie turner and brittany mahomes",FoxNews,1,https://www.foxnews.com/entertainment/taylor-swift-steals-nyc-spotlight-dinner-blake-lively-sophie-turner-brittany-mahomes
"ozempic, the happy drug? study suggests weight-loss medications could reduce depression, anxiety",FoxNews,1,https://www.foxnews.com/health/ozempic-happy-drug-study-suggests-weight-loss-medications-reduce-depression-anxiety
pennsylvania family sickened after eating toxic mushrooms expected to recover,FoxNews,1,https://www.foxnews.com/food-drink/pennsylvania-family-sickened-after-eating-toxic-mushrooms-expected-recover.print
family selling dream home to fund life-saving treatment for 5-year-old daughter,FoxNews,1,https://www.foxnews.com/health/family-selling-dream-home-fund-life-saving-treatment-daughter.print
"israel declares war after hamas surprise attack, launches retaliatory airstrikes in gaza",FoxNews,1,https://www.foxnews.com/world/israel-strikes-hamas-gaza-surprise-attack-exchanges-fire-hezbollah
"taylor swift, travis kelce get support from family after surprise 'eras tour' stage appearance",FoxNews,1,https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-get-support-from-family-after-surprise-eras-tour-stage-appearance
"the doors' jim morrison had ‘a fascination with death’ before passing away at 27, bandmate robby krieger says",FoxNews,1,https://www.foxnews.com/entertainment/jim-morrison-the-doors-memoir-robby-krieger
walz repeats georgia abortion death falsehood decried by doctors as 'fearmongering',FoxNews,1,https://www.foxnews.com/politics/walz-repeats-georgia-abortion-death-falsehood-decried-doctors-fearmongering
"harris campaign won't give details on type of gun she owns, last time she went to range",FoxNews,1,https://www.foxnews.com/politics/harris-campaign-wont-give-details-type-gun-she-owns-last-time-she-went-range
"utah mom kept missing daughter, 5, hidden in cult 'compound' for months with help from adult sons: prosecutors",FoxNews,1,https://www.foxnews.com/us/utah-mom-kept-missing-daughter-hidden-cult-compound-months-help-from-adult-sons-prosecutors
"kamala harris' far-left record dismissed as 'accusations,' attacks from trump and gop: 'she's moderate'",FoxNews,1,https://www.foxnews.com/media/kamala-harris-far-left-record-dismissed-accusations-attacks-from-trump-gop-shes-moderate
israel defense forces confirm 'targeted strike' on beirut,FoxNews,1,https://www.foxnews.com/world/israel-defense-forces-confirm-targeted-strike-beirut
"pope emeritus benedict xvi dead at 95, vatican says",FoxNews,1,https://www.foxnews.com/world/pope-emeritus-benedict-xvi-dead-95-vatican-says
sheldon whitehouse doesn't denounce super-exclusive beach club his family belongs to,FoxNews,1,https://www.foxnews.com/politics/sheldon-whitehouse-doesnt-denounce-all-white-beach-club-his-family-belongs-to
san jose state women's volleyball's trans player raises eyebrows with brutal spike vs new mexico,FoxNews,1,https://www.foxnews.com/sports/san-jose-state-womens-volleyballs-trans-player-raises-eyebrows-brutal-spike-vs-new-mexico.print
'star wars' actress carrie fisher honored with star on hollywood walk of fame amid family drama,FoxNews,1,https://www.foxnews.com/entertainment/star-wars-actress-carrie-fisher-honored-star-hollywood-walk-of-fame-amid-family-drama
"aoc fires back at fetterman, accuses him of 'bleak dunk attempt'",FoxNews,1,https://www.foxnews.com/politics/aoc-fires-back-fetterman-accuses-him-bleak-dunk-attempt
"harris calls for americans to 'move past the failed policies' in november, draws mockery",FoxNews,1,https://www.foxnews.com/media/harris-calls-americans-move-past-failed-policies-november-draws-mockery.print
"jake e lee, former guitarist for ozzy osbourne, ‘broke a rib and damaged a lung’ after being shot at 3 times",FoxNews,1,https://www.foxnews.com/entertainment/jake-e-lee-guitarist-ozzy-osbourne-broke-rib-damaged-lung-shot-3-times.print
nevada women's volleyball captain slams trans athletes in her sport as team decides against players’ refusal,FoxNews,1,https://www.foxnews.com/sports/nevada-womens-volleyball-captain-slams-trans-athletes-her-sport-team-decides-against-players-refusal.print
jd vance calls out 'deranged' mindset that we need illegal immigrants to build houses,FoxNews,1,https://www.foxnews.com/media/jd-vance-calls-out-deranged-mindset-we-need-illegal-immigrants-build-houses
"meet the american who created bubble gum, walter diemer, home-kitchen chemist outwitted scientists",FoxNews,1,https://www.foxnews.com/lifestyle/meet-american-who-created-bubble-gum-walter-diemer-home-kitchen-chemist-outwitted-scientists
biden campaign sends all-staff memo hoping to calm post-debate concerns,FoxNews,1,https://www.foxnews.com/politics/biden-campaign-sends-all-staff-memo-hoping-calm-post-debate-concerns-report
"trump and harris in toss-up races in key swing states pennsylvania, georgia, nevada: poll",FoxNews,1,https://www.foxnews.com/politics/trump-harris-toss-up-races-key-swing-states-pennsylvania-georgia-nevada-poll.print
"harris supporters say she'll fix immigration, blame trump for border crisis",FoxNews,1,https://www.foxnews.com/politics/harris-supporters-say-shell-fix-immigration-blame-trump-for-border-crisis-immigration-blame-trump-border-crisis
"israel says it conducted retaliatory strikes against hezbollah in lebanon, struck hamas in gaza",FoxNews,1,https://www.foxnews.com/world/israel-says-conducted-retaliatory-strikes-against-hezbollah-lebanon-struck-hamas-gaza.print
harrison ford mocks conan o’brien after 'star wars' dis: ‘you can't f---ing remember',FoxNews,1,https://www.foxnews.com/entertainment/harrison-ford-mocks-conan-obrien-star-wars-dis-cant-f-ing-remember
franklin graham's samaritan's purse sponsors 21 ambulances in israel to replace those destroyed by hamas,FoxNews,1,https://www.foxnews.com/lifestyle/franklin-grahams-samaritans-purse-sponsors-21-ambulances-israel-replace-destroyed-hamas
bruce willis shares sweet embrace with daughter tallulah and makes funny faces in playful snaps,FoxNews,1,https://www.foxnews.com/entertainment/bruce-willis-shares-sweet-embrace-daughter-tallulah-makes-funny-faces-playful-snaps.print
how secret service protocol has changed amid presidential assassination attempts through the years,FoxNews,1,https://www.foxnews.com/politics/secret-service-protocol-changed-amid-presidential-assassination-attempts-through-years
"hezbollah hits israel with deadliest attack in months-long conflict, idf says, raising fears of escalation",FoxNews,1,https://www.foxnews.com/world/hezbollah-hits-israel-deadliest-attack-months-long-conflict-idf-says-raising-fears-escalation.print
fox nation to debut new american history series hosted by kelsey grammer,FoxNews,1,https://www.foxnews.com/media/fox-nation-debut-american-history-series-kelsey-grammer
trump calls liz cheney a 'low iq war hawk' after appearance in support of harris,FoxNews,1,https://www.foxnews.com/politics/trump-calls-liz-cheney-low-iq-war-hawk-after-appearance-support-harris
trump hints he will appear on joe rogan podcast: 'i think i'm doing it',FoxNews,1,https://www.foxnews.com/media/trump-hints-he-appear-joe-rogan-podcast-i-think-im-doing-it.print
"how stairwell b became the site of a miracle amidst the tragedy of sept. 11, 2001",FoxNews,1,https://www.foxnews.com/us/stairwell-b-story-14-survivors-north-tower-9-11
